postal,latitude,longitude
099756,1.275829178,103.8251353
823103,1.397266608,103.9045384
575227,1.349779855,103.8326958
307592,1.316783256,103.84486
821104,1.396805705,103.9050542
822104,1.396608862,103.9053038
268580,1.323662386,103.7936874
139526,1.290734193,103.7983644
426129,1.317082815,103.9131671
597137,1.327085404,103.7658635
535386,1.348069353,103.8859483
637973,1.337324811,103.6912922
507684,1.36472762,103.9747393
821105,1.396941332,103.9057295
822105,1.397206464,103.9060023
823105,1.397672035,103.9055988
597140,1.327138404,103.7651867
824105,1.397175309,103.9052296
439626,1.303617728,103.8886788
098144,1.238961766,103.833709
786141,1.406191879,103.8240454
536736,1.350625072,103.8839154
536737,1.350731227,103.8839208
427165,1.315113471,103.9138231
228873,1.313189935,103.8433092
637974,1.337380924,103.6912483
821107,1.397198794,103.9068258
822107,1.396837235,103.9072482
823107,1.396621521,103.9076007
549184,1.359642464,103.8803053
824107,1.396238035,103.9080073
545059,1.359995176,103.8800004
439813,1.302851299,103.8884138
425543,1.311960079,103.9135358
068900,1.279548447,103.848971
786498,1.404063002,103.8218448
307595,1.3169186,103.8448144
760108,1.432323551,103.829072
758514,1.456531124,103.8354999
650109,1.347003767,103.7461704
239548,1.298035984,103.838851
218916,1.313563712,103.8529205
169201,1.280024644,103.8213893
169203,1.280856427,103.8222007
169204,1.281651072,103.82248
544922,1.360126573,103.8804003
429517,1.305987463,103.9075635
459624,1.311123149,103.9181708
539062,1.34483649,103.8720879
258909,1.313459032,103.8334917
769888,1.437581121,103.8272925
468481,1.322189666,103.9471157
548393,1.358974549,103.8780337
548037,1.360330863,103.882832
425429,1.311087679,103.9084295
277002,1.31547116,103.7854734
358428,1.344736023,103.8614535
258290,1.318367827,103.826383
327953,1.325827815,103.8642351
549394,1.359441875,103.8819361
418707,1.329331357,103.9074533
547237,1.36464196,103.8778044
459183,1.308650929,103.922836
128539,1.305306489,103.7654547
417416,1.323977026,103.9126258
298731,1.337782888,103.8198085
546278,1.367942749,103.8825706
457139,1.31452664,103.9288185
596921,1.337732246,103.7650888
548042,1.360564746,103.8825666
547890,1.361611625,103.8750832
549400,1.359678514,103.8816725
428721,1.302120839,103.9034923
269935,1.320489668,103.7935563
189675,1.295399803,103.8552166
439751,1.305155836,103.8947887
309725,1.320697965,103.8389546
299802,1.328037317,103.8149203
460011,1.326911375,103.9248839
486122,1.328726044,103.9663887
554781,1.360692956,103.8670733
259621,1.318793456,103.8135456
269216,1.32312189,103.8092955
789882,1.388616563,103.8399942
098497,1.246598575,103.8383448
549694,1.360385089,103.8757572
268893,1.322506593,103.8120336
429312,1.310071447,103.907024
486124,1.323759666,103.957006
549628,1.357937848,103.8777261
619702,1.333732581,103.7173944
438866,1.308569732,103.8995545
438815,1.309214206,103.8988558
457880,1.316021907,103.9155717
489482,1.337904613,103.9549627
757212,1.461036822,103.8390067
489007,1.329722362,103.9495517
359109,1.345694522,103.8697783
468148,1.313774091,103.9366591
418784,1.329621773,103.9072579
288762,1.33622986,103.7893658
308433,1.319499928,103.8499006
548396,1.35867227,103.8778175
339155,1.315343054,103.8683213
466003,1.320062265,103.9500592
258678,1.310497327,103.8225862
547825,1.36365104,103.8874589
718865,1.443073646,103.7217233
398146,1.313706897,103.8885063
399268,1.310839331,103.8761096
416810,1.319355991,103.9114835
508723,1.373275766,103.9708345
228636,1.312190512,103.8422894
308254,1.324887186,103.8337531
308047,1.322198814,103.8357137
437708,1.304832586,103.9008636
807817,1.385392414,103.8670485
128467,1.30150489,103.7584763
609259,1.301464966,103.7530591
437560,1.313630167,103.8931612
627575,1.320297475,103.7006977
556391,1.359026786,103.8734514
437407,1.301714761,103.8889653
437371,1.310155277,103.8931534
546239,1.361753465,103.8776132
546074,1.361973361,103.8779695
424228,1.306063073,103.9070479
487511,1.337277524,103.9532552
266661,1.328234457,103.7995336
618777,1.332077828,103.7137363
588282,1.338330231,103.7858762
628109,1.326690532,103.6836224
358233,1.344330074,103.8697026
786970,1.404142129,103.8196888
487335,1.33923286,103.9590792
528729,1.356334661,103.9408934
545698,1.362170645,103.8799207
266584,1.328365155,103.7985646
168751,1.281080257,103.8357365
535020,1.342731718,103.884159
637361,1.316505803,103.6366487
637643,1.289604525,103.6304847
228120,1.303321969,103.848641
357962,1.346252751,103.8706941
159921,1.291487202,103.819827
466096,1.320942076,103.9496887
797562,1.410751739,103.8677989
467109,1.319583452,103.9406904
439822,1.301912374,103.8883394
069931,1.282085597,103.8475017
429849,1.311295046,103.8997002
239877,1.299721915,103.8366225
820111,1.396677886,103.9065791
229391,1.305058798,103.8392358
545017,1.359942814,103.8807834
208559,1.310331563,103.861715
297838,1.326768887,103.8378606
266317,1.321948299,103.7977596
820112,1.396245169,103.9070873
289569,1.335224415,103.7994713
428802,1.305206499,103.9050448
639593,1.327385547,103.6429359
535684,1.35765508,103.88736
098743,1.270749214,103.8132748
423608,1.311269092,103.901763
460113,1.33036165,103.935081
545016,1.359979644,103.8808219
278556,1.310897668,103.800245
297909,1.329995089,103.8187182
460114,1.330505213,103.9358169
820114,1.395799718,103.9075556
786824,1.39029655,103.8352266
425944,1.313951409,103.9127636
208036,1.307547614,103.8561892
467113,1.319791443,103.9407611
786501,1.404145217,103.8219873
535395,1.347328555,103.8850698
098744,1.270842397,103.8131278
820115,1.395128547,103.9072584
417749,1.326846477,103.9117389
424528,1.313910695,103.8985426
807131,1.386151603,103.8718875
429857,1.311071465,103.8998575
098226,1.238571247,103.8326552
820116,1.39541568,103.9069122
289571,1.335314774,103.7992056
228710,1.306633058,103.8473396
467115,1.319903798,103.9408645
806729,1.385920641,103.8569848
098747,1.271001005,103.8128817
151117,1.284301055,103.8219072
554577,1.361578675,103.8661727
269393,1.322451435,103.7980578
239880,1.299726695,103.8364881
820117,1.395787352,103.9066178
457981,1.312608268,103.9170842
610117,1.335096949,103.7230732
424529,1.313847481,103.8986654
610118,1.33538116,103.7229066
820118,1.396207066,103.9061471
428642,1.310456888,103.9040814
427845,1.313627506,103.9035439
427407,1.313841901,103.8990261
758822,1.456952,103.8317
598105,1.336925549,103.7674947
098101,1.238146218,103.8332769
278563,1.311332093,103.7998992
427408,1.313650843,103.899543
308405,1.314091762,103.8442333
269858,1.314484365,103.798504
559155,1.362154956,103.8697513
549629,1.357985106,103.8777652
489185,1.338250969,103.9552937
418296,1.322473135,103.9163896
268251,1.322710437,103.7969156
457141,1.31440565,103.9276311
417547,1.327711014,103.9133904
267775,1.322568667,103.7921034
426367,1.317962145,103.9099474
308048,1.322075529,103.8358723
266662,1.327965346,103.7992911
425297,1.310485203,103.9092681
347480,1.330167293,103.8700793
546150,1.362941764,103.8754583
546076,1.362081147,103.877975
546330,1.361106755,103.8809046
546337,1.361106755,103.8809046
544890,1.36293884,103.8755192
257826,1.31191077,103.8320221
069692,1.281246074,103.845452
460012,1.321103101,103.9369002
436592,1.30259668,103.8956489
249890,1.296001186,103.8238939
486353,1.331448153,103.9521335
279864,1.332411244,103.7920615
619868,1.335474642,103.7141745
459599,1.311181219,103.9183034
268894,1.322596013,103.8117054
